a,b,m,n,injection_id,channel_mn,time,current,voltage,polarity
60,61,62,64,1,0,1.682,-1.059,-86.125,-1
60,61,62,64,1,0,1.687,-1.080,-89.312,-1
60,61,62,64,1,0,1.692,-1.035,-103.000,-1
60,61,62,64,1,0,1.697,-1.067,-102.250,-1
60,61,62,64,1,0,1.702,-0.983,-97.938,-1
60,61,62,64,1,0,1.708,-1.074,-106.750,-1
60,61,62,64,1,0,1.712,-1.025,-107.312,-1
60,61,62,64,1,0,1.717,-1.055,-93.812,-1
60,61,62,64,1,0,1.722,-1.054,-102.812,-1
60,61,62,64,1,0,1.727,-1.022,-91.938,-1
60,61,62,64,1,0,1.732,-1.014,-97.562,-1
60,61,62,64,1,0,1.737,-1.073,-78.438,-1
60,61,62,64,1,0,1.742,-1.012,-93.812,-1
60,61,62,64,1,0,1.747,-0.992,-100.188,-1
60,61,62,64,1,0,1.752,-0.983,-98.500,-1
60,61,62,64,1,0,1.757,-0.980,-92.312,-1
60,61,62,64,1,0,1.762,-0.975,-99.625,-1
60,61,62,64,1,0,1.767,-1.007,-95.125,-1
60,61,62,64,1,0,1.772,-0.967,-108.062,-1
60,61,62,64,1,0,1.777,-0.970,-97.000,-1
60,61,62,64,1,0,1.782,-1.019,-98.875,-1
60,61,62,64,1,0,1.787,-1.060,-86.688,-1
60,61,62,64,1,0,1.792,-1.006,-98.500,-1
60,61,62,64,1,0,1.797,-1.019,-97.000,-1
60,61,62,64,1,0,1.802,-0.991,-99.438,-1
60,61,62,64,1,0,1.807,-1.023,-92.875,-1
60,61,62,64,1,0,1.812,-1.031,-102.437,-1
60,61,62,64,1,0,1.817,-0.994,-91.187,-1
60,61,62,64,1,0,1.822,-0.970,-96.438,-1
60,61,62,64,1,0,1.827,-0.948,-106.562,-1
60,61,62,64,1,0,1.832,-0.973,-99.250,-1
60,61,62,64,1,0,1.837,-0.969,-97.000,-1
60,61,62,64,1,0,1.842,-1.038,-93.438,-1
60,61,62,64,1,0,1.847,-1.044,-104.125,-1
60,61,62,64,1,0,1.852,-1.022,-91.187,-1
60,61,62,64,1,0,1.857,-1.035,-91.187,-1
60,61,62,64,1,0,1.862,-1.058,-93.812,-1
60,61,62,64,1,0,1.867,-1.036,-92.125,-1
60,61,62,64,1,0,1.872,-1.018,-101.688,-1
60,61,62,64,1,0,1.877,-0.978,-102.062,-1
60,61,62,64,1,0,1.882,-0.980,-94.188,-1
60,61,62,64,1,0,1.887,-1.072,-91.375,-1
60,61,62,64,1,0,1.892,-1.038,-103.375,-1
60,61,62,64,1,0,1.897,-1.022,-104.500,-1
60,61,62,64,1,0,1.902,-0.976,-104.500,-1
60,61,62,64,1,0,1.907,-0.987,-102.812,-1
60,61,62,64,1,0,1.912,-1.070,-95.688,-1
60,61,62,64,1,0,1.917,-1.011,-113.125,-1
60,61,62,64,1,0,1.922,-1.020,-107.875,-1
60,61,62,64,1,0,1.927,-1.071,-98.125,-1
60,61,62,64,1,0,1.932,-1.014,-97.000,-1
60,61,62,64,1,0,1.937,-0.945,-89.500,-1
60,61,62,64,1,0,1.942,-1.015,-96.250,-1
60,61,62,64,1,0,1.947,-1.025,-95.312,-1
60,61,62,64,1,0,1.952,-1.064,-94.562,-1
60,61,62,64,1,0,1.957,-1.031,-98.875,-1
60,61,62,64,1,0,1.962,-1.012,-92.500,-1
60,61,62,64,1,0,1.967,-0.998,-97.188,-1
60,61,62,64,1,0,1.972,-1.045,-101.875,-1
60,61,62,64,1,0,1.977,-0.994,-99.062,-1
60,61,62,64,1,0,1.982,-1.025,-97.750,-1
60,61,62,64,1,0,1.987,-0.979,-88.375,-1
60,61,62,64,1,0,1.992,-1.013,-102.062,-1
60,61,62,64,1,0,1.997,-1.045,-100.000,-1
60,61,62,64,1,0,2.002,-1.048,-92.875,-1
60,61,62,64,1,0,2.007,-1.081,-94.562,-1
60,61,62,64,1,0,2.012,-1.011,-105.625,-1
60,61,62,64,1,0,2.017,-1.030,-93.250,-1
60,61,62,64,1,0,2.022,-0.998,-95.312,-1
60,61,62,64,1,0,2.027,-1.012,-106.562,-1
60,61,62,64,1,0,2.032,-1.018,-93.250,-1
60,61,62,64,1,0,2.037,-1.047,-80.500,-1
60,61,62,64,1,0,2.042,-1.012,-104.312,-1
60,61,62,64,1,0,2.047,-1.003,-102.250,-1
60,61,62,64,1,0,2.052,-1.054,-107.875,-1
60,61,62,64,1,0,2.057,-1.046,-109.000,-1
60,61,62,64,1,0,2.062,-0.986,-96.062,-1
60,61,62,64,1,0,2.093,0.242,22.812,0
60,61,62,64,1,0,2.097,0.242,23.750,0
60,61,62,64,1,0,2.102,0.242,26.563,0
60,61,62,64,1,0,2.107,0.242,28.438,0
60,61,62,64,1,0,2.112,0.242,18.500,0
60,61,62,64,1,0,2.117,0.242,21.125,0
60,61,62,64,1,0,2.122,0.242,28.438,0
60,61,62,64,1,0,2.127,0.242,12.875,0
60,61,62,64,1,0,2.132,0.242,27.500,0
60,61,62,64,1,0,2.137,0.242,29.188,0
60,61,62,64,1,0,2.142,0.242,24.312,0
60,61,62,64,1,0,2.147,0.242,16.062,0
60,61,62,64,1,0,2.152,0.242,21.688,0
60,61,62,64,1,0,2.157,0.242,22.625,0
60,61,62,64,1,0,2.162,0.242,24.875,0
60,61,62,64,1,0,2.167,0.242,25.813,0
60,61,62,64,1,0,2.172,0.242,23.938,0
60,61,62,64,1,0,2.177,0.242,14.375,0
60,61,62,64,1,0,2.182,0.242,11.750,0
60,61,62,64,1,0,2.187,0.242,26.375,0
60,61,62,64,1,0,2.192,0.242,16.438,0
60,61,62,64,1,0,2.197,0.242,18.688,0
