event,event_start,depth_cm,sensor_id,treatment,location,tag,peak_time,peak_vwc,tail_hours,n_samples,exp_A,exp_tau_h,exp_C,exp_r2,pow_A,pow_alpha,pow_C,pow_r2
20,1.7289927e+18,10,SMS01,swale,SwB,slope,1.7290143e+18,0.4645313200000001,82.16666666666667,987,0.037882239839284876,127.13187346989665,0.42191545806894976,0.8300324326654407,0.4683780123952433,0.011806554751577839,1.1328271576138216e-18,0.7878573108386628
21,1.7293176e+18,10,SMS01,swale,SwB,slope,1.7293575e+18,0.45460108,167.91666666666666,2016,0.031508036988463814,163.29889483976254,0.422077530268136,0.7884992367617325,0.4648826706965739,0.012354594214573645,2.0177128709753127e-12,0.6695479169056784
22,1.7303526e+18,10,SMS01,swale,SwB,slope,1.7303544e+18,0.43916266,23.666666666666668,285,0.4357592277772115,1957.2384171237782,4.719665077461683e-8,0.4673548296923835,0.4358177480522759,0.0027840040116244896,1.3338735246815625e-9,0.22422651081854827
25,1.7305929e+18,10,SMS01,swale,SwB,slope,1.7306532e+18,0.4426149700000002,167.91666666666666,2016,0.008565483681296344,45.651750918667865,0.4310114413523333,0.3204797401720224,0.4429012733897272,0.005313353732720066,6.682539711922321e-12,0.33171948298382437
29,1.7316243e+18,10,SMS01,swale,SwB,slope,1.7316441e+18,0.4692637,12.166666666666666,147,0.007799545355984714,2.540511979862043,0.4619761031177479,0.7965833142067913,0.013574234608448128,0.2070470005937119,0.45369888886482296,0.7421911287344463
32,1.7326116e+18,10,SMS01,swale,SwB,slope,1.7326872e+18,0.4750434100000001,72.16666666666667,867,0.037286456040402045,13.039816615336747,0.44318321227771135,0.966552205975873,0.48114393784168513,0.020385289685867,5.217001149402542e-10,0.919645818137172
33,1.7329545e+18,10,SMS01,swale,SwB,slope,1.7330382e+18,0.4668587200000001,167.91666666666666,2016,0.032565671368386756,78.60616153848413,0.43551042313435756,0.8833161341215753,0.48241426160341877,0.017416771802466747,4.985079900427719e-16,0.8151668567764248
38,1.7340993e+18,10,SMS01,swale,SwB,slope,1.7341038e+18,0.4620487600000001,167.91666666666666,2016,0.02853738088446135,64.3155148750536,0.43071869822163283,0.9230642263415405,0.47135518140356086,0.01621147545744616,5.293432542003226e-12,0.8633575943636631
39,1.7352846e+18,10,SMS01,swale,SwB,slope,1.7353176e+18,0.4323356200000001,49.25,592,0.008187394341364755,3.184636453571731,0.4264992918195345,0.2071647941372905,0.006567636375711672,0.4618755273528815,0.4251260368646008,0.15932821208849168
40,1.7355024e+18,10,SMS01,swale,SwB,slope,1.7355753e+18,0.44525269,167.91666666666666,2016,0.029904066474378318,118.52434925040941,0.4121196277151153,0.8172955774811326,0.4545083510645021,0.014494528521095517,6.167110541237861e-13,0.7297658625419113
41,1.7417259e+18,10,SMS01,swale,SwB,slope,1.7417952e+18,0.365,167.91666666666666,2016,5.744531889652067e-14,1191.5700031796935,0.3689543649311116,-3.503863865716994e-13,8.07682774227601e-11,9.205745523379471e-6,0.3689543628143156,-2.042810365310288e-13
44,1.7475318e+18,10,SMS01,swale,SwB,slope,1.7475864e+18,0.326,167.91666666666666,2016,3.4453990077436627e-18,1143.7695126215472,0.32836359126869047,-2.220446049250313e-16,4.286298360309497e-14,0.1312606227803017,0.32836359132915127,-5.395683899678261e-13
45,1.7496783e+18,10,SMS01,swale,SwB,slope,1.7497482e+18,0.36,167.91666666666666,2016,1.9348774257133662e-17,1936.4781244902065,0.38134374999851023,-2.220446049250313e-16,6.825115868094107e-10,0.00002212439821395681,0.38134373045925835,-2.922107000813412e-12
48,1.7540874e+18,10,SMS01,swale,SwB,slope,1.7541555e+18,0.354,21.5,259,0.008220954872080443,4.787844277333602,0.3480422051422961,0.4840740647394306,0.07141869239934671,0.03170482983419134,0.28307895984166165,0.40183101305586744
50,1.7543367e+18,10,SMS01,swale,SwB,slope,1.7544096e+18,0.436,167.91666666666666,2016,0.43508563344810836,3509.6223342814583,9.373459264269174e-11,0.7576676917521676,0.4467441380940735,0.012174418073514905,2.5426330301886154e-16,0.5635630838352323
53,1.7572914e+18,10,SMS01,swale,SwB,slope,1.7573517e+18,0.423,72.91666666666667,876,1.2895301952413816e-14,3694.056635912528,0.42276141537633616,-1.4876988529977098e-14,5.833950038811293e-10,0.00003418082799684158,0.42276140833727516,-5.6485927046878714e-12
55,1.7577351e+18,10,SMS01,swale,SwB,slope,1.7577819e+18,0.434,127.16666666666667,1527,0.038298885013170796,336.06816525081945,0.3970570004403212,0.4126295607883733,0.4405367811026457,0.006915005989261483,1.9636275125273813e-19,0.279239865800472
57,1.7585001e+18,10,SMS01,swale,SwB,slope,1.7585211e+18,0.445,15.333333333333332,185,0.44471384551845333,1538.4509380243958,1.3652354796246068e-8,0.5041047041995546,0.44350460464970787,0.003035515212799545,0.0014314626340667619,0.3834462446619157
59,1.7588304e+18,10,SMS01,swale,SwB,slope,1.7588982e+18,0.443,26.583333333333336,320,0.010381504095446055,4.450048872270579,0.4358942744065044,0.40982999717894275,0.015175925211158158,0.22238179970085337,0.4284039970383215,0.30208559543500435
61,1.7593677e+18,10,SMS01,swale,SwB,slope,1.7594175e+18,0.434,33.08333333333333,398,0.014235969605015504,6.790656907474043,0.42331097246568716,0.8398473380086353,0.43562729731669675,0.008597459282150777,1.6848746881752236e-11,0.7466704625344032
